grid_id,model_no2_10m,model_no_100m,longitude,latitude
0_0,16.16,16.22,-6.388698,53.30133
0_1,16.17,16.27,-6.388643,53.302227
0_2,16.13,16.07,-6.388589,53.303125
0_3,16.1,16.11,-6.388534,53.304023
0_4,16.08,16.14,-6.388479,53.304921
0_5,16.05,,-6.388424,53.305819
0_6,16,16.22,-6.388369,53.306717
0_7,16.44,16.59,-6.388315,53.307615
0_8,16.73,16.96,-6.38826,53.308513
0_9,16.79,16.96,-6.388205,53.309411
0_10,21.28,20.63,-6.38815,53.310309
0_11,18.3,17.89,-6.388095,53.311207
0_12,18.1,18.45,-6.38804,53.312105
0_13,19.54,18.48,-6.387985,53.313003
0_14,30.95,20.29,-6.387931,53.313901
0_15,18.97,19.17,-6.387876,53.314799
0_16,17.2,17.87,-6.387821,53.315697
0_17,16.8,17.01,-6.387766,53.316595
0_18,16.47,16.55,-6.387711,53.317493
0_19,16.42,16.43,-6.387656,53.318391
0_20,16.35,16.31,-6.387601,53.319289
0_21,18.36,18.33,-6.387547,53.320187
0_22,16.39,16.38,-6.387492,53.321085
0_23,16.21,16.2,-6.387437,53.321983
0_24,16.22,16.18,-6.387382,53.322881
0_25,16.22,16.24,-6.387327,53.323779
0_26,16.29,16.29,-6.387272,53.324677
0_27,16.91,16.91,-6.387217,53.325574
0_28,16.6,,-6.387162,53.326472
0_29,17.03,16.78,-6.387107,53.32737
0_30,17.64,17.78,-6.387053,53.328268
0_31,16.73,16.46,-6.386998,53.329166
0_32,15.76,15.66,-6.386943,53.330064
0_33,16.02,15.97,-6.386888,53.330962
0_34,16.02,16.07,-6.386833,53.33186
0_35,16.26,16.11,-6.386778,53.332758
0_36,16.6,17.28,-6.386723,53.333656
0_37,17.75,17.92,-6.386668,53.334554
0_38,18.18,18.2,-6.386613,53.335452
0_39,19.7,19.26,-6.386558,53.33635
0_40,21.42,23.13,-6.386503,53.337248
0_41,24.68,23.13,-6.386448,53.338146
0_42,24.44,23.48,-6.386394,53.339044
0_43,23.59,23.35,-6.386339,53.339942
0_44,22.6,21,-6.386284,53.34084
0_45,22.46,21.9,-6.386229,53.341738
0_46,24.01,23.75,-6.386174,53.342636
0_47,23.85,25.26,-6.386119,53.343534
0_48,24.49,23.04,-6.386064,53.344432
0_49,25.51,25,-6.386009,53.345329
0_50,25.52,25.34,-6.385954,53.346227
0_51,23.93,23.84,-6.385899,53.347125
0_52,26.45,26.5,-6.385844,53.348023
0_53,25.36,24.73,-6.385789,53.348921
0_54,24.81,24.32,-6.385734,53.349819
0_55,24.2,25.49,-6.385679,53.350717
0_56,23.72,24.34,-6.385624,53.351615
0_57,24.03,23.83,-6.385569,53.352513
0_58,24.84,23.93,-6.385514,53.353411
0_59,24.36,24.88,-6.385459,53.354309
0_60,24.63,24.91,-6.385404,53.355207
0_61,26.24,25.96,-6.385349,53.356105
0_62,25.72,25.26,-6.385294,53.357003
0_63,24.92,25.43,-6.385239,53.357901
0_64,23.87,23.75,-6.385184,53.358799
0_65,23.18,22.9,-6.385129,53.359697
0_66,22.77,,-6.385074,53.360595
0_67,23.07,22.83,-6.385019,53.361493
0_68,22.58,22.73,-6.384964,53.362391
0_69,22.13,21.63,-6.384909,53.363289
0_70,21.71,21.98,-6.384854,53.364187
0_71,20.59,20.54,-6.384799,53.365084
0_72,20.26,20.07,-6.384744,53.365982
0_73,20.19,20.07,-6.384689,53.36688
0_74,20.75,21.25,-6.384634,53.367778
0_75,20.32,21,-6.384579,53.368676
0_76,19.67,20.13,-6.384524,53.369574
0_77,18.89,18.87,-6.384469,53.370472
0_78,18.92,18.95,-6.384414,53.37137
0_79,19.08,19.01,-6.384359,53.372268
0_80,18.84,18.92,-6.384304,53.373166
0_81,18.67,18.67,-6.384249,53.374064
0_82,18.69,18.7,-6.384194,53.374962
0_83,18.72,18.77,-6.384139,53.37586
0_84,18.65,18.64,-6.384084,53.376758
0_85,18.61,19.17,-6.384028,53.377656
0_86,18.58,18.6,-6.383973,53.378554
0_87,18.57,18.57,-6.383918,53.379452
0_88,18.74,18.73,-6.383863,53.38035
0_89,18.99,18.99,-6.383808,53.381248
0_90,19.33,19.37,-6.383753,53.382145
0_91,19.17,19.17,-6.383698,53.383043
0_92,19.11,19.05,-6.383643,53.383941
0_93,19.06,20.75,-6.383588,53.384839
0_94,19.25,19.27,-6.383533,53.385737
0_95,19.22,19.25,-6.383478,53.386635
0_96,21.37,19.38,-6.383423,53.387533
0_97,19.26,18.91,-6.383367,53.388431
0_98,18.87,18.76,-6.383312,53.389329
0_99,18.61,18.61,-6.383257,53.390227
0_100,19.16,19.25,-6.383202,53.391125
0_101,19.43,20.23,-6.383147,53.392023
0_102,20.59,21.18,-6.383092,53.392921
0_103,20.14,19.7,-6.383037,53.393819
0_104,18.48,,-6.382982,53.394717
0_105,16.91,17.26,-6.382927,53.395615
0_106,16.47,16.68,-6.382871,53.396513
0_107,16.18,16.34,-6.382816,53.397411
0_108,15.87,15.9,-6.382761,53.398309
0_109,15.88,15.8,-6.382706,53.399206
0_110,18.06,15.88,-6.382651,53.400104
0_111,14.57,14.79,-6.382596,53.401002
0_112,14.13,14.18,-6.382541,53.4019
0_113,13.61,13.69,-6.382485,53.402798
0_114,13.26,13.33,-6.38243,53.403696
0_115,13.11,13.17,-6.382375,53.404594
0_116,12.58,12.51,-6.38232,53.405492
0_117,12.14,12.16,-6.382265,53.40639
0_118,11.83,11.86,-6.38221,53.407288
0_119,11.67,11.8,-6.382155,53.408186
0_120,11.72,11.53,-6.382099,53.409084
0_121,11.53,11.5,-6.382044,53.409982
0_122,11.47,11.54,-6.381989,53.41088
0_123,10.78,10.82,-6.381934,53.411778
0_124,10.67,10.61,-6.381879,53.412676
0_125,10.42,10.45,-6.381823,53.413574
0_126,10.34,10.44,-6.381768,53.414471
1_0,15.94,,-6.387199,53.301297
1_1,15.93,15.99,-6.387144,53.302195
1_2,15.89,15.8,-6.38709,53.303093
1_3,15.88,15.84,-6.387035,53.303991
1_4,15.76,15.87,-6.38698,53.304889
1_5,15.55,15.91,-6.386925,53.305786
