grid_id,latitude,longitude
0_0,53.30133,-6.388698
0_1,53.302227,-6.388643
0_2,53.303125,-6.388589
0_3,53.304023,-6.388534
0_4,53.304921,-6.388479
0_5,53.305819,-6.388424
0_6,53.306717,-6.388369
0_7,53.307615,-6.388315
0_8,53.308513,-6.38826
0_9,53.309411,-6.388205
0_10,53.310309,-6.38815
0_11,53.311207,-6.388095
0_12,53.312105,-6.38804
0_13,53.313003,-6.387985
0_14,53.313901,-6.387931
0_15,53.314799,-6.387876
0_16,53.315697,-6.387821
0_17,53.316595,-6.387766
0_18,53.317493,-6.387711
0_19,53.318391,-6.387656
0_20,53.319289,-6.387601
0_21,53.320187,-6.387547
0_22,53.321085,-6.387492
0_23,53.321983,-6.387437
0_24,53.322881,-6.387382
0_25,53.323779,-6.387327
0_26,53.324677,-6.387272
0_27,53.325574,-6.387217
0_28,53.326472,-6.387162
0_29,53.32737,-6.387107
0_30,53.328268,-6.387053
0_31,53.329166,-6.386998
0_32,53.330064,-6.386943
0_33,53.330962,-6.386888
0_34,53.33186,-6.386833
0_35,53.332758,-6.386778
0_36,53.333656,-6.386723
0_37,53.334554,-6.386668
0_38,53.335452,-6.386613
0_39,53.33635,-6.386558
0_40,53.337248,-6.386503
0_41,53.338146,-6.386448
0_42,53.339044,-6.386394
0_43,53.339942,-6.386339
0_44,53.34084,-6.386284
0_45,53.341738,-6.386229
0_46,53.342636,-6.386174
0_47,53.343534,-6.386119
0_48,53.344432,-6.386064
0_49,53.345329,-6.386009
0_50,53.346227,-6.385954
0_51,53.347125,-6.385899
0_52,53.348023,-6.385844
0_53,53.348921,-6.385789
0_54,53.349819,-6.385734
0_55,53.350717,-6.385679
0_56,53.351615,-6.385624
0_57,53.352513,-6.385569
0_58,53.353411,-6.385514
0_59,53.354309,-6.385459
0_60,53.355207,-6.385404
0_61,53.356105,-6.385349
0_62,53.357003,-6.385294
0_63,53.357901,-6.385239
0_64,53.358799,-6.385184
0_65,53.359697,-6.385129
0_66,53.360595,-6.385074
0_67,53.361493,-6.385019
